Date,Open,High,Low,Close,Volume,Adj Close
2012-05-30,4168.20,4168.20,4126.60,4148.70,814223400,4148.70
2012-05-29,4120.20,4169.00,4092.40,4168.20,913256600,4168.20
2012-05-28,4081.20,4122.20,4081.20,4120.20,791810400,4120.20
2012-05-25,4107.60,4121.00,4077.40,4081.20,852005800,4081.20
2012-05-24,4119.90,4139.80,4101.90,4106.20,928991200,4106.20
2012-05-23,4170.30,4170.30,4118.80,4118.80,930042400,4118.80
2012-05-22,4133.70,4174.40,4133.70,4173.50,995160800,4173.50
2012-05-21,4104.70,4137.70,4093.80,4124.40,919429600,4124.40
2012-05-18,4193.10,4193.10,4079.40,4098.80,1256740300,4098.80
2012-05-17,4218.00,4233.30,4187.20,4208.50,1177529900,4208.50
2012-05-16,4304.10,4304.10,4214.70,4214.70,1259938200,4214.70
2012-05-15,4341.50,4341.50,4302.20,4316.30,1186575400,4316.30
2012-05-14,4344.80,4360.50,4340.40,4351.90,768859600,4351.90
2012-05-11,4354.20,4359.30,4333.10,4342.70,807140400,4342.70
2012-05-10,4327.30,4353.80,4327.30,4353.80,1014527600,4353.80
2012-05-09,4372.20,4372.90,4316.40,4332.20,1128627600,4332.20
2012-05-08,4369.90,4387.40,4359.80,4375.90,941326800,4375.90
2012-05-07,4440.70,4440.70,4359.30,4361.60,1067633900,4361.60
2012-05-04,4488.10,4488.10,4452.50,4459.40,872010800,4459.40
2012-05-03,4503.80,4510.20,4494.50,4494.50,983662400,4494.50
2012-05-02,4503.00,4513.20,4496.90,4504.80,907010400,4504.80
2012-05-01,4468.80,4515.00,4468.80,4497.30,1070743600,4497.30
2012-04-30,4443.60,4468.10,4443.20,4467.20,817382600,4467.20
2012-04-27,4446.50,4455.60,4433.40,4433.40,989977400,4433.40
2012-04-26,4442.00,4466.20,4438.40,4445.00,947348000,4445.00
2012-04-24,4423.30,4447.10,4415.50,4433.90,964892800,4433.90
2012-04-23,4442.60,4442.80,4429.00,4430.30,647529800,4430.30
2012-04-20,4437.90,4445.60,4432.10,4444.40,879490800,4444.40
2012-04-19,4428.20,4453.70,4425.60,4441.30,1063501400,4441.30
2012-04-18,4380.50,4427.20,4380.40,4427.20,887666200,4427.20
2012-04-17,4382.20,4400.60,4366.70,4368.80,850262800,4368.80
2012-04-16,4394.00,4394.10,4368.60,4382.50,818239600,4382.50
2012-04-13,4374.30,4410.70,4374.30,4404.20,974279200,4404.20
2012-04-12,4330.10,4361.70,4330.10,4361.70,868506600,4361.70
2012-04-11,4362.80,4362.80,4327.30,4327.30,902003800,4327.30
2012-04-10,4393.00,4393.20,4357.30,4373.70,800400200,4373.70
2012-04-05,4408.10,4408.70,4370.10,4402.30,942229400,4402.30
2012-04-04,4416.30,4425.00,4402.40,4418.90,1122709700,4418.90
2012-04-03,4422.90,4437.70,4415.30,4424.40,1074237700,4424.40
2012-04-02,4432.50,4460.70,4414.10,4416.40,1144622300,4416.40
2012-03-30,4423.90,4443.00,4419.90,4420.00,1403223700,4420.00
2012-03-29,4427.60,4434.50,4414.60,4422.00,1147291700,4422.00
2012-03-28,4388.40,4433.60,4384.80,4431.50,1159175100,4431.50
2012-03-27,4364.90,4397.90,4364.90,4391.60,1182755400,4391.60
2012-03-26,4360.20,4380.70,4355.20,4355.20,894068600,4355.20
2012-03-23,4354.70,4366.90,4329.30,4360.70,973673800,4360.70
2012-03-22,4344.70,4373.20,4343.90,4364.90,1045932800,4364.90
2012-03-21,4357.00,4365.60,4334.40,4347.00,1038875200,4347.00
2012-03-20,4382.80,4383.00,4355.00,4365.60,1082051600,4365.60
2012-03-19,4370.60,4397.90,4369.80,4381.20,1066384900,4381.20
2012-03-16,4367.50,4373.50,4354.60,4364.70,1751284800,4364.70
2012-03-15,4371.20,4371.20,4354.30,4366.90,1354538700,4366.90
2012-03-14,4348.60,4382.60,4348.20,4375.60,1131242600,4375.60
2012-03-13,4294.20,4341.80,4293.70,4336.50,1040307300,4336.50
2012-03-12,4303.00,4303.60,4285.10,4288.20,808687600,4288.20
2012-03-09,4270.60,4303.70,4270.40,4300.50,1123729500,4300.50
2012-03-08,4242.10,4266.30,4237.70,4262.20,1137482900,4262.20
2012-03-07,4285.00,4285.00,4234.40,4234.40,1157537300,4234.40
2012-03-06,4345.60,4346.00,4293.10,4295.50,1101944100,4295.50
2012-03-05,4360.00,4364.20,4343.60,4354.20,766396000,4354.20
2012-03-02,4353.90,4380.90,4353.50,4364.10,862698200,4364.10
2012-03-01,4381.00,4381.00,4337.60,4346.00,1043666600,4346.00
2012-02-29,4357.10,4406.10,4357.10,4388.10,1555847200,4388.10
2012-02-28,4355.30,4372.90,4346.30,4351.20,1119814900,4351.20
2012-02-27,4380.10,4385.30,4345.70,4354.50,1078737800,4354.50
2012-02-24,4369.40,4389.40,4366.40,4389.00,1235710900,4389.00
2012-02-23,4371.10,4373.90,4347.80,4367.50,1210551200,4367.50
2012-02-22,4365.80,4383.70,4353.10,4372.10,1192074900,4372.10
2012-02-21,4335.00,4373.60,4323.30,4368.20,1056628500,4368.20
2012-02-20,4289.30,4332.80,4286.90,4332.80,1000443900,4332.80
2012-02-17,4267.00,4288.70,4264.00,4273.30,961726600,4273.30
2012-02-16,4318.10,4318.10,4246.40,4257.20,1236966100,4257.20
2012-02-15,4318.10,4332.30,4300.10,4327.40,1079238900,4327.40
2012-02-14,4354.20,4354.70,4310.80,4318.90,1072698900,4318.90
2012-02-13,4321.90,4362.80,4320.90,4359.40,931936400,4359.40
2012-02-10,4354.70,4362.50,4322.60,4322.60,1059731800,4322.60
2012-02-09,4356.90,4357.50,4320.30,4357.10,1044951400,4357.10
2012-02-08,4340.20,4367.10,4340.20,4363.70,1174082000,4363.70
2012-02-07,4359.60,4380.40,4340.40,4344.90,979607200,4344.90
2012-02-06,4334.60,4377.50,4333.50,4364.60,912430400,4364.60
2012-02-03,4336.60,4340.80,4318.00,4320.10,1031078300,4320.10
2012-02-02,4306.50,4349.00,4305.30,4333.20,1113003900,4333.20
2012-02-01,4322.40,4328.10,4291.00,4291.00,1221422300,4291.00
2012-01-31,4332.70,4348.90,4323.80,4325.70,1018690900,4325.70
2012-01-30,4347.00,4355.30,4327.30,4334.40,763909400,4334.40
2012-01-27,4333.80,4373.30,4333.80,4348.50,898880800,4348.50
2012-01-25,4289.50,4329.50,4289.20,4329.10,919214400,4329.10
2012-01-24,4290.70,4311.10,4281.80,4286.40,737934600,4286.40
2012-01-23,4300.20,4301.70,4287.50,4287.60,660306200,4287.60
2012-01-20,4285.30,4312.80,4284.60,4303.00,1001973500,4303.00
2012-01-19,4290.20,4320.60,4278.60,4278.60,1007868400,4278.60
2012-01-18,4278.80,4290.00,4262.80,4280.60,939774800,4280.60
2012-01-17,4220.10,4277.70,4219.30,4277.70,926949000,4277.70
2012-01-16,4244.00,4245.40,4201.50,4208.90,660080800,4208.90
2012-01-13,4246.90,4261.80,4244.90,4255.40,755501200,4255.40
2012-01-12,4245.50,4251.50,4226.00,4238.40,724990200,4238.40
2012-01-11,4214.20,4254.90,4214.20,4242.90,804011200,4242.90
2012-01-10,4169.30,4208.60,4169.30,4206.60,760923400,4206.60
2012-01-09,4170.60,4183.80,4145.10,4161.50,639837000,4161.50
2012-01-06,4194.20,4198.20,4164.00,4164.50,652275800,4164.50
2012-01-05,4231.70,4231.70,4186.70,4196.60,645734400,4196.60
2012-01-04,4175.90,4254.00,4175.70,4239.50,806516200,4239.50
2012-01-03,4123.30,4160.60,4122.60,4155.20,439899600,4155.20
2011-12-30,4128.50,4140.90,4109.50,4111.00,349294400,4111.00
2011-12-29,4135.30,4135.30,4091.60,4123.10,479293800,4123.10
2011-12-28,4191.30,4193.70,4139.50,4141.70,429540400,4141.70
2011-12-23,4153.50,4192.10,4153.50,4192.10,570899000,4192.10
2011-12-22,4184.40,4185.00,4136.30,4142.20,788964800,4142.20
2011-12-21,4126.20,4198.20,4126.20,4190.20,1027746400,4190.20
2011-12-20,4113.80,4128.50,4103.10,4107.10,878892400,4107.10
2011-12-19,4208.10,4208.30,4113.60,4113.90,1029751500,4113.90
2011-12-16,4200.10,4224.30,4198.80,4218.80,1227678300,4218.80
2011-12-15,4239.70,4239.70,4175.10,4197.80,1315231800,4197.80
2011-12-14,4243.80,4259.80,4227.50,4249.80,880720600,4249.80
2011-12-13,4295.60,4295.60,4240.80,4251.70,922301600,4251.70
2011-12-12,4281.60,4331.70,4281.20,4311.40,833469400,4311.40
2011-12-09,4319.60,4320.20,4248.50,4264.10,917995600,4264.10
2011-12-08,4348.00,4349.70,4330.80,4338.90,982986400,4338.90
2011-12-07,4331.20,4373.50,4331.10,4351.30,847617000,4351.30
2011-12-06,4375.50,4376.10,4316.20,4321.60,947725600,4321.60
2011-12-05,4350.60,4391.30,4350.60,4379.50,1120695400,4379.50
2011-12-02,4285.20,4346.30,4285.20,4346.30,1206862800,4346.30
2011-12-01,4218.80,4299.50,4218.80,4288.10,1382634100,4288.10
2011-11-30,4163.90,4184.70,4145.70,4184.70,1630384700,4184.70
2011-11-29,4132.00,4167.30,4109.30,4167.30,1066210400,4167.30
2011-11-28,4069.00,4138.10,4068.70,4125.80,1032192800,4125.80
2011-11-25,4114.10,4114.10,4047.40,4057.60,1166514200,4057.60
2011-11-24,4124.00,4141.50,4101.50,4115.30,1284224300,4115.30
2011-11-23,4197.00,4197.80,4125.80,4125.80,1013926500,4125.80
2011-11-22,4219.00,4220.90,4166.00,4204.20,1083360900,4204.20
2011-11-21,4242.50,4251.30,4212.40,4233.60,854768000,4233.60
2011-11-18,4305.90,4306.70,4242.30,4246.70,846892400,4246.70
2011-11-17,4312.40,4341.30,4293.40,4324.10,918693000,4324.10
2011-11-16,4356.50,4372.20,4313.80,4313.80,898341200,4313.80
2011-11-15,4364.60,4366.40,4342.10,4351.50,910526800,4351.50
2011-11-14,4371.30,4423.90,4369.10,4369.10,820872600,4369.10
2011-11-11,4308.50,4358.60,4308.50,4358.60,915071600,4358.60
2011-11-10,4369.80,4369.80,4270.30,4307.30,1412260500,4307.30
2011-11-09,4372.30,4424.00,4372.30,4406.20,977427200,4406.20
2011-11-08,4343.40,4362.30,4337.10,4356.70,773668200,4356.70
2011-11-07,4343.00,4348.40,4315.60,4335.30,699631200,4335.30
2011-11-04,4263.50,4343.00,4263.50,4342.50,972119600,4342.50
2011-11-03,4258.20,4277.80,4213.10,4237.50,994236600,4237.50
2011-11-02,4281.80,4282.60,4209.00,4251.30,1000377000,4251.30
2011-11-01,4342.90,4343.10,4297.10,4297.20,699284600,4297.20
2011-10-31,4407.70,4416.60,4360.50,4360.50,992059600,4360.50
2011-10-28,4420.70,4472.20,4398.60,4411.40,1393983500,4411.40
2011-10-27,4305.10,4407.50,4300.70,4403.90,791371600,4403.90
2011-10-26,4274.30,4314.40,4235.10,4300.80,950914400,4300.80
2011-10-25,4325.50,4326.30,4273.40,4287.70,958505400,4287.70
2011-10-24,4216.00,4322.00,4215.90,4313.60,794128000,4313.60
2011-10-21,4207.70,4228.30,4193.50,4203.40,835319400,4203.40
2011-10-20,4263.50,4264.00,4199.40,4206.80,901825400,4206.80
2011-10-19,4257.90,4293.50,4256.10,4274.80,963180200,4274.80
2011-10-18,4319.20,4319.20,4249.40,4249.50,842915800,4249.50
2011-10-17,4283.70,4348.10,4283.00,4337.90,744104400,4337.90
2011-10-14,4295.40,4295.40,4260.10,4269.00,792788000,4269.00
2011-10-13,4277.60,4316.90,4269.70,4306.00,1149627700,4306.00
2011-10-12,4277.10,4277.30,4231.30,4266.40,1005829000,4266.40
2011-10-11,4275.50,4306.60,4267.70,4288.80,1118784500,4288.80
2011-10-10,4219.90,4277.00,4210.60,4262.30,997685200,4262.30
