"","date","BTC","ETH","XRP","BCH","LTC","ADA","NEO","XLM","EOS","DASH","XMR","MIOTA","XEM","ETC","TRX","VEN","LSK","USDT"
"2017-12-10","2017-12-10",15455.4,441.72,0.237333,1323.07,148.66,0.110281,33.31,0.119263,3.77,688.67,245.33,4.13,0.393966,26.51,0.004408,0.464684,7.94,1.02
"2017-12-11","2017-12-11",16936.8,515.14,0.251691,1423.38,214.2,0.121383,35.88,0.144956,4.36,765.4,279.67,4.27,0.49053,27.64,0.005282,0.5776,8.17,1.02
"2017-12-12","2017-12-12",17415.4,651.43,0.373541,1615.03,316.16,0.133891,40.41,0.156444,5.3,932.03,308.07,4.72,0.534018,30.32,0.007613,0.582677,9.35,1.08
"2017-12-13","2017-12-13",16408.2,702.77,0.471063,1607.65,302.6,0.134281,44.81,0.149342,7.3,886.88,305.75,4.09,0.523858,29.72,0.01646,0.552646,9.51,1.03
"2017-12-14","2017-12-14",16564,695.82,0.864263,1966.14,279.33,0.240753,50.62,0.188907,8.4,941.11,325.21,3.78,0.610045,31.96,0.01769,0.673752,10.72,1.01
"2017-12-15","2017-12-15",17706.9,684.45,0.756181,1815.43,299.78,0.213467,47.99,0.195862,8.13,900.52,312.32,3.9,0.592682,32.09,0.018434,0.853001,10.22,1.02
"2017-12-16","2017-12-16",19497.4,696.21,0.758642,1801.88,298.97,0.404665,49.81,0.232125,8.61,1001.51,327.32,3.63,0.657999,34.78,0.036271,0.921172,10.48,1.01
"2017-12-17","2017-12-17",19140.8,719.98,0.728366,1862.88,318.72,0.513011,68.11,0.266621,8.22,1105.92,351.37,3.93,0.687827,34.79,0.03619,1.25,13.43,1.01
"2017-12-18","2017-12-18",19114.2,794.64,0.778407,2196.64,358.34,0.518198,77.22,0.276283,9.21,1167.12,381.51,4.24,0.846193,39.4,0.044589,1.71,17.02,1.01
"2017-12-19","2017-12-19",17776.7,826.82,0.791257,2805.89,350.25,0.531273,70.81,0.26431,12.38,1186.63,377.24,5.37,0.942962,40.27,0.046848,1.46,16.81,1.01
"2017-12-20","2017-12-20",16624.6,819.09,0.775964,3923.07,314.62,0.486151,75.62,0.252386,11.99,1550.85,469.2,5.09,0.918996,44.05,0.048883,1.51,19.57,1
"2017-12-21","2017-12-21",15802.9,821.06,1.19,3267.17,317.46,0.477851,71.37,0.2572,10.6,1434.82,417.98,5.03,0.998102,42.1,0.045969,1.53,24.17,1.01
